id,latency,size,totalTime
0,58,30,10731
1,19,30,10731
2,17,30,10731
3,17,30,10731
4,16,30,10731
5,16,30,10731
6,17,30,10731
7,16,30,10731
8,16,30,10731
9,16,30,10731
10,15,30,10731
11,16,30,10731
12,16,30,10731
13,16,30,10731
14,15,30,10731
15,15,30,10731
16,16,30,10731
17,16,30,10731
18,15,30,10731
19,18,30,10731
20,18,30,10731
21,24,30,10731
22,15,30,10731
23,16,30,10731
24,21,30,10731
25,20,30,10731
26,19,30,10731
27,17,30,10731
28,16,30,10731
29,29,30,10731
30,20,30,10731
31,15,30,10731
32,15,30,10731
33,21,30,10731
34,19,30,10731
35,17,30,10731
36,17,30,10731
37,17,30,10731
38,21,30,10731
39,17,30,10731
40,16,30,10731
41,16,30,10731
42,221,30,10731
43,23,30,10731
44,30,30,10731
45,23,30,10731
46,16,30,10731
47,22,30,10731
48,18,30,10731
49,17,30,10731
50,18,30,10731
51,17,30,10731
52,16,30,10731
53,15,30,10731
54,15,30,10731
55,16,30,10731
56,15,30,10731
57,16,30,10731
58,16,30,10731
59,22,30,10731
60,25,30,10731
61,24,30,10731
62,16,30,10731
63,15,30,10731
64,16,30,10731
65,15,30,10731
66,17,30,10731
67,15,30,10731
68,17,30,10731
69,16,30,10731
70,16,30,10731
71,17,30,10731
72,16,30,10731
73,16,30,10731
74,21,30,10731
75,17,30,10731
76,15,30,10731
77,16,30,10731
78,16,30,10731
79,16,30,10731
80,21,30,10731
81,19,30,10731
82,16,30,10731
83,20,30,10731
84,15,30,10731
85,15,30,10731
86,16,30,10731
87,21,30,10731
88,16,30,10731
89,16,30,10731
90,17,30,10731
91,15,30,10731
92,15,30,10731
93,15,30,10731
94,15,30,10731
95,15,30,10731
96,15,30,10731
97,15,30,10731
98,15,30,10731
99,15,30,10731
100,17,30,10731
101,16,30,10731
102,16,30,10731
103,17,30,10731
104,17,30,10731
105,27,30,10731
106,27,30,10731
107,19,30,10731
108,16,30,10731
109,16,30,10731
110,15,30,10731
111,15,30,10731
112,15,30,10731
113,15,30,10731
114,16,30,10731
115,17,30,10731
116,16,30,10731
117,15,30,10731
118,16,30,10731
119,17,30,10731
120,20,30,10731
121,19,30,10731
122,17,30,10731
123,17,30,10731
124,16,30,10731
125,15,30,10731
126,15,30,10731
127,31,30,10731
128,23,30,10731
129,15,30,10731
130,26,30,10731
131,18,30,10731
132,17,30,10731
133,18,30,10731
134,16,30,10731
135,15,30,10731
136,16,30,10731
137,15,30,10731
138,222,30,10731
139,22,30,10731
140,16,30,10731
141,219,30,10731
142,23,30,10731
143,16,30,10731
144,15,30,10731
145,15,30,10731
146,15,30,10731
147,16,30,10731
148,26,30,10731
149,16,30,10731
150,15,30,10731
151,18,30,10731
152,21,30,10731
153,16,30,10731
154,16,30,10731
155,16,30,10731
156,16,30,10731
157,15,30,10731
158,17,30,10731
159,23,30,10731
160,16,30,10731
161,16,30,10731
162,15,30,10731
163,22,30,10731
164,20,30,10731
165,28,30,10731
166,28,30,10731
167,23,30,10731
168,19,30,10731
169,33,30,10731
170,27,30,10731
171,20,30,10731
172,36,30,10731
173,29,30,10731
174,25,30,10731
175,24,30,10731
176,19,30,10731
177,28,30,10731
178,23,30,10731
179,23,30,10731
180,22,30,10731
181,29,30,10731
182,43,30,10731
183,28,30,10731
184,27,30,10731
185,41,30,10731
186,33,30,10731
187,22,30,10731
188,29,30,10731
189,32,30,10731
190,39,30,10731
191,31,30,10731
192,32,30,10731
193,27,30,10731
194,32,30,10731
195,20,30,10731
196,16,30,10731
197,15,30,10731
198,219,30,10731
199,24,30,10731
200,28,30,10731
201,26,30,10731
202,34,30,10731
203,29,30,10731
204,25,30,10731
205,24,30,10731
206,21,30,10731
207,33,30,10731
208,38,30,10731
209,35,30,10731
210,22,30,10731
211,37,30,10731
212,28,30,10731
213,29,30,10731
214,235,30,10731
215,27,30,10731
216,22,30,10731
217,25,30,10731
218,26,30,10731
219,24,30,10731
220,43,30,10731
221,30,30,10731
222,30,30,10731
223,27,30,10731
224,28,30,10731
225,28,30,10731
226,44,30,10731
227,24,30,10731
228,28,30,10731
229,26,30,10731
230,18,30,10731
231,34,30,10731
232,220,30,10731
233,24,30,10731
234,26,30,10731
235,36,30,10731
236,19,30,10731
237,25,30,10731
238,28,30,10731
239,17,30,10731
240,17,30,10731
241,239,30,10731
242,32,30,10731
243,26,30,10731
244,30,30,10731
245,27,30,10731
246,23,30,10731
247,20,30,10731
248,21,30,10731
249,52,30,10731
250,33,30,10731
251,26,30,10731
252,29,30,10731
253,25,30,10731
254,222,30,10731
255,23,30,10731
256,30,30,10731
257,16,30,10731
258,15,30,10731
259,15,30,10731
260,14,30,10731
261,15,30,10731
262,15,30,10731
263,15,30,10731
264,218,30,10731
265,29,30,10731
266,28,30,10731
267,28,30,10731
268,59,30,10731
269,46,30,10731
270,32,30,10731
271,18,30,10731
272,27,30,10731
273,26,30,10731
274,40,30,10731
275,44,30,10731
276,24,30,10731
277,48,30,10731
278,229,30,10731
279,28,30,10731
280,24,30,10731
281,24,30,10731
282,34,30,10731
283,639,30,10731
284,36,30,10731
285,28,30,10731
286,20,30,10731
287,23,30,10731
288,26,30,10731
289,27,30,10731
290,18,30,10731
291,15,30,10731
292,15,30,10731
293,23,30,10731
294,17,30,10731
295,15,30,10731
296,15,30,10731
297,15,30,10731
298,15,30,10731
299,27,30,10731
300,23,30,10731
301,30,30,10731
302,47,30,10731
303,35,30,10731
304,43,30,10731
305,28,30,10731
306,36,30,10731
307,33,30,10731
308,63,30,10731
309,51,30,10731
310,25,30,10731
311,39,30,10731
312,35,30,10731
313,36,30,10731
314,221,30,10731
315,30,30,10731
