id,latency,size,totalTime
0,187,30,26525
1,45,30,26525
2,55,30,26525
3,82,30,26525
4,72,30,26525
5,53,30,26525
6,35,30,26525
7,59,30,26525
8,54,30,26525
9,47,30,26525
10,64,30,26525
11,50,30,26525
12,49,30,26525
13,51,30,26525
14,47,30,26525
15,47,30,26525
16,243,30,26525
17,33,30,26525
18,232,30,26525
19,30,30,26525
20,39,30,26525
21,61,30,26525
22,77,30,26525
23,66,30,26525
24,49,30,26525
25,70,30,26525
26,38,30,26525
27,37,30,26525
28,53,30,26525
29,259,30,26525
30,50,30,26525
31,92,30,26525
32,315,30,26525
33,38,30,26525
34,44,30,26525
35,258,30,26525
36,264,30,26525
37,47,30,26525
38,23,30,26525
39,30,30,26525
40,83,30,26525
41,63,30,26525
42,56,30,26525
43,32,30,26525
44,222,30,26525
45,65,30,26525
46,49,30,26525
47,58,30,26525
48,238,30,26525
49,419,30,26525
50,50,30,26525
51,52,30,26525
52,41,30,26525
53,124,30,26525
54,135,30,26525
55,92,30,26525
56,219,30,26525
57,73,30,26525
58,27,30,26525
59,25,30,26525
60,30,30,26525
61,30,30,26525
62,57,30,26525
63,71,30,26525
64,47,30,26525
65,65,30,26525
66,120,30,26525
67,254,30,26525
68,238,30,26525
69,63,30,26525
70,103,30,26525
71,44,30,26525
72,68,30,26525
73,52,30,26525
74,52,30,26525
75,264,30,26525
76,69,30,26525
77,42,30,26525
78,81,30,26525
79,62,30,26525
80,80,30,26525
81,49,30,26525
82,49,30,26525
83,58,30,26525
84,29,30,26525
85,39,30,26525
86,34,30,26525
87,27,30,26525
88,28,30,26525
89,38,30,26525
90,88,30,26525
91,57,30,26525
92,57,30,26525
93,74,30,26525
94,125,30,26525
95,257,30,26525
96,37,30,26525
97,63,30,26525
98,64,30,26525
99,276,30,26525
100,67,30,26525
101,73,30,26525
102,488,30,26525
103,93,30,26525
104,236,30,26525
105,131,30,26525
106,229,30,26525
107,64,30,26525
108,42,30,26525
109,104,30,26525
110,246,30,26525
111,55,30,26525
112,85,30,26525
113,31,30,26525
114,32,30,26525
115,18,30,26525
116,23,30,26525
117,37,30,26525
118,59,30,26525
119,79,30,26525
120,31,30,26525
121,46,30,26525
122,323,30,26525
123,100,30,26525
124,54,30,26525
125,24,30,26525
126,33,30,26525
127,39,30,26525
128,35,30,26525
129,42,30,26525
130,37,30,26525
131,26,30,26525
132,279,30,26525
133,49,30,26525
134,44,30,26525
135,78,30,26525
136,32,30,26525
137,67,30,26525
138,48,30,26525
139,59,30,26525
140,28,30,26525
141,43,30,26525
142,256,30,26525
143,45,30,26525
144,244,30,26525
145,228,30,26525
146,47,30,26525
147,52,30,26525
148,247,30,26525
149,57,30,26525
150,41,30,26525
151,47,30,26525
152,30,30,26525
153,310,30,26525
154,57,30,26525
155,30,30,26525
156,30,30,26525
157,71,30,26525
158,34,30,26525
159,1004,30,26525
160,51,30,26525
161,37,30,26525
162,35,30,26525
163,68,30,26525
164,30,30,26525
165,41,30,26525
166,29,30,26525
167,26,30,26525
168,242,30,26525
169,38,30,26525
170,37,30,26525
171,47,30,26525
172,46,30,26525
173,31,30,26525
174,50,30,26525
175,105,30,26525
176,41,30,26525
177,62,30,26525
178,77,30,26525
179,84,30,26525
180,46,30,26525
181,31,30,26525
182,58,30,26525
183,228,30,26525
184,83,30,26525
185,35,30,26525
186,28,30,26525
187,60,30,26525
188,230,30,26525
189,28,30,26525
190,25,30,26525
191,20,30,26525
192,32,30,26525
193,77,30,26525
194,55,30,26525
195,45,30,26525
196,57,30,26525
197,42,30,26525
198,63,30,26525
199,33,30,26525
200,40,30,26525
201,54,30,26525
202,49,30,26525
203,130,30,26525
204,264,30,26525
205,70,30,26525
206,25,30,26525
207,22,30,26525
208,42,30,26525
209,29,30,26525
210,40,30,26525
211,39,30,26525
212,65,30,26525
213,38,30,26525
214,55,30,26525
215,48,30,26525
216,44,30,26525
217,43,30,26525
218,57,30,26525
219,28,30,26525
220,42,30,26525
221,29,30,26525
222,32,30,26525
223,51,30,26525
224,40,30,26525
225,45,30,26525
226,39,30,26525
227,58,30,26525
228,67,30,26525
229,32,30,26525
230,41,30,26525
231,72,30,26525
232,37,30,26525
233,53,30,26525
234,51,30,26525
235,52,30,26525
236,61,30,26525
237,35,30,26525
238,35,30,26525
239,27,30,26525
240,44,30,26525
241,46,30,26525
242,52,30,26525
243,40,30,26525
244,45,30,26525
245,44,30,26525
246,64,30,26525
247,28,30,26525
248,38,30,26525
249,46,30,26525
250,39,30,26525
