id,entryId,latency,dataGenTime,totalBytes,totalTime
0,2,373,135,128000000,58166
1,7,77,0,128000000,58166
2,11,21,0,128000000,58166
3,15,31,0,128000000,58166
4,19,41,0,128000000,58166
5,24,36,0,128000000,58166
6,28,36,0,128000000,58166
7,31,25,0,128000000,58166
8,36,22,0,128000000,58166
9,40,40,0,128000000,58166
10,44,22,0,128000000,58166
11,48,21,0,128000000,58166
12,52,21,0,128000000,58166
13,57,23,0,128000000,58166
14,61,20,0,128000000,58166
15,64,19,0,128000000,58166
16,68,23,0,128000000,58166
17,74,20,0,128000000,58166
18,78,20,0,128000000,58166
19,81,20,0,128000000,58166
20,85,23,0,128000000,58166
21,89,22,0,128000000,58166
22,93,23,0,128000000,58166
23,97,29,0,128000000,58166
24,101,46,0,128000000,58166
25,106,21,0,128000000,58166
26,109,20,0,128000000,58166
27,112,21,0,128000000,58166
28,116,22,0,128000000,58166
29,120,23,0,128000000,58166
30,124,24,0,128000000,58166
31,128,29,0,128000000,58166
32,132,22,0,128000000,58166
33,134,24,0,128000000,58166
34,138,23,0,128000000,58166
35,142,383,0,128000000,58166
36,148,24,0,128000000,58166
37,152,24,0,128000000,58166
38,156,24,0,128000000,58166
39,160,25,0,128000000,58166
40,164,24,0,128000000,58166
41,168,22,0,128000000,58166
42,172,26,0,128000000,58166
43,176,23,0,128000000,58166
44,180,21,0,128000000,58166
45,184,22,0,128000000,58166
46,188,30,1,128000000,58166
47,192,20,0,128000000,58166
48,195,19,0,128000000,58166
49,198,19,0,128000000,58166
50,202,21,0,128000000,58166
51,206,20,0,128000000,58166
52,210,18,0,128000000,58166
53,214,19,0,128000000,58166
54,218,28,0,128000000,58166
55,222,19,0,128000000,58166
56,226,19,0,128000000,58166
57,230,20,0,128000000,58166
58,234,22,0,128000000,58166
59,238,19,0,128000000,58166
60,242,20,0,128000000,58166
61,248,22,0,128000000,58166
62,252,19,0,128000000,58166
63,256,42,0,128000000,58166
64,259,19,0,128000000,58166
65,264,32,0,128000000,58166
66,270,22,0,128000000,58166
67,274,25,0,128000000,58166
68,278,23,0,128000000,58166
69,282,22,0,128000000,58166
70,286,22,0,128000000,58166
71,290,23,0,128000000,58166
72,294,21,0,128000000,58166
73,298,21,0,128000000,58166
74,302,22,0,128000000,58166
75,306,21,0,128000000,58166
76,308,18,0,128000000,58166
77,312,21,0,128000000,58166
78,317,22,0,128000000,58166
79,321,22,0,128000000,58166
80,325,23,0,128000000,58166
81,328,21,0,128000000,58166
82,332,23,0,128000000,58166
83,336,28,0,128000000,58166
84,340,29,0,128000000,58166
85,345,22,0,128000000,58166
86,349,23,0,128000000,58166
87,354,23,0,128000000,58166
88,358,21,0,128000000,58166
89,361,22,0,128000000,58166
90,365,21,0,128000000,58166
91,369,21,0,128000000,58166
92,373,22,0,128000000,58166
93,377,25,0,128000000,58166
94,381,22,0,128000000,58166
95,385,22,0,128000000,58166
96,389,22,0,128000000,58166
97,393,23,0,128000000,58166
98,397,20,0,128000000,58166
99,401,22,0,128000000,58166
100,405,22,0,128000000,58166
101,409,22,0,128000000,58166
102,413,27,0,128000000,58166
103,417,22,0,128000000,58166
104,421,475,0,128000000,58166
105,426,20,0,128000000,58166
106,430,27,0,128000000,58166
107,435,20,0,128000000,58166
108,439,19,0,128000000,58166
109,443,23,0,128000000,58166
110,447,18,0,128000000,58166
111,451,20,0,128000000,58166
112,455,22,0,128000000,58166
113,459,27,0,128000000,58166
114,463,17,0,128000000,58166
115,468,19,0,128000000,58166
116,472,22,0,128000000,58166
117,476,24,0,128000000,58166
118,480,22,0,128000000,58166
119,484,21,0,128000000,58166
120,488,21,0,128000000,58166
121,492,19,0,128000000,58166
122,496,27,0,128000000,58166
123,500,22,0,128000000,58166
124,504,23,0,128000000,58166
125,508,21,0,128000000,58166
126,512,19,0,128000000,58166
127,516,25,0,128000000,58166
128,520,22,0,128000000,58166
129,524,18,0,128000000,58166
130,528,20,0,128000000,58166
131,532,22,0,128000000,58166
132,536,22,0,128000000,58166
133,540,21,0,128000000,58166
134,544,21,0,128000000,58166
135,548,20,0,128000000,58166
136,552,23,0,128000000,58166
137,556,20,0,128000000,58166
138,560,21,0,128000000,58166
139,564,22,0,128000000,58166
140,566,21,0,128000000,58166
141,571,22,0,128000000,58166
142,574,21,0,128000000,58166
143,578,23,0,128000000,58166
144,582,23,0,128000000,58166
145,586,22,0,128000000,58166
