id,latency,size,totalTime
0,99,30,28715
1,35,30,28715
2,39,30,28715
3,2019,30,28715
4,470,30,28715
5,264,30,28715
6,249,30,28715
7,63,30,28715
8,92,30,28715
9,102,30,28715
10,159,30,28715
11,96,30,28715
12,55,30,28715
13,52,30,28715
14,66,30,28715
15,70,30,28715
16,105,30,28715
17,72,30,28715
18,88,30,28715
19,45,30,28715
20,55,30,28715
21,24,30,28715
22,31,30,28715
23,37,30,28715
24,32,30,28715
25,39,30,28715
26,35,30,28715
27,48,30,28715
28,65,30,28715
29,90,30,28715
30,57,30,28715
31,26,30,28715
32,43,30,28715
33,672,30,28715
34,42,30,28715
35,43,30,28715
36,70,30,28715
37,92,30,28715
38,244,30,28715
39,69,30,28715
40,27,30,28715
41,40,30,28715
42,29,30,28715
43,27,30,28715
44,38,30,28715
45,49,30,28715
46,26,30,28715
47,30,30,28715
48,30,30,28715
49,33,30,28715
50,243,30,28715
51,54,30,28715
52,56,30,28715
53,58,30,28715
54,63,30,28715
55,64,30,28715
56,31,30,28715
57,56,30,28715
58,96,30,28715
59,234,30,28715
60,36,30,28715
61,59,30,28715
62,29,30,28715
63,52,30,28715
64,97,30,28715
65,38,30,28715
66,59,30,28715
67,59,30,28715
68,242,30,28715
69,45,30,28715
70,43,30,28715
71,42,30,28715
72,61,30,28715
73,74,30,28715
74,67,30,28715
75,64,30,28715
76,52,30,28715
77,42,30,28715
78,35,30,28715
79,165,30,28715
80,68,30,28715
81,69,30,28715
82,264,30,28715
83,230,30,28715
84,242,30,28715
85,39,30,28715
86,72,30,28715
87,90,30,28715
88,65,30,28715
89,40,30,28715
90,97,30,28715
91,81,30,28715
92,111,30,28715
93,95,30,28715
94,230,30,28715
95,318,30,28715
96,48,30,28715
97,244,30,28715
98,41,30,28715
99,177,30,28715
100,63,30,28715
101,55,30,28715
102,61,30,28715
103,77,30,28715
104,61,30,28715
105,34,30,28715
106,42,30,28715
107,44,30,28715
108,46,30,28715
109,66,30,28715
110,32,30,28715
111,31,30,28715
112,48,30,28715
113,67,30,28715
114,67,30,28715
115,73,30,28715
116,69,30,28715
117,133,30,28715
118,99,30,28715
119,44,30,28715
120,28,30,28715
121,24,30,28715
122,27,30,28715
123,37,30,28715
124,47,30,28715
125,203,30,28715
126,38,30,28715
127,56,30,28715
128,40,30,28715
129,64,30,28715
130,60,30,28715
131,45,30,28715
