id,entryId,latency,dataGenTime,totalBytes,totalTime
0,0,240,10,512000000,216511
1,1,55,0,512000000,216511
2,2,20,0,512000000,216511
3,3,17,0,512000000,216511
4,4,21,0,512000000,216511
5,5,19,0,512000000,216511
6,6,18,0,512000000,216511
7,7,18,0,512000000,216511
8,8,34,0,512000000,216511
9,9,15,0,512000000,216511
10,10,28,0,512000000,216511
11,11,18,0,512000000,216511
12,12,20,0,512000000,216511
13,13,17,0,512000000,216511
14,14,17,0,512000000,216511
15,15,20,0,512000000,216511
16,16,25,0,512000000,216511
17,17,21,0,512000000,216511
18,18,36,0,512000000,216511
19,19,28,0,512000000,216511
20,20,21,0,512000000,216511
21,21,23,0,512000000,216511
22,22,22,0,512000000,216511
23,23,25,0,512000000,216511
24,24,22,0,512000000,216511
25,25,21,0,512000000,216511
26,26,21,0,512000000,216511
27,27,25,0,512000000,216511
28,28,22,0,512000000,216511
29,29,19,0,512000000,216511
30,30,20,0,512000000,216511
31,31,23,0,512000000,216511
32,32,23,0,512000000,216511
33,33,22,1,512000000,216511
34,34,28,0,512000000,216511
35,35,23,0,512000000,216511
36,36,21,0,512000000,216511
37,37,21,0,512000000,216511
38,38,25,0,512000000,216511
39,39,21,0,512000000,216511
40,40,25,0,512000000,216511
41,41,24,0,512000000,216511
42,42,37,0,512000000,216511
43,43,12,0,512000000,216511
44,44,11,0,512000000,216511
45,45,10,0,512000000,216511
46,46,15,0,512000000,216511
47,47,19,0,512000000,216511
48,48,21,0,512000000,216511
49,49,20,0,512000000,216511
50,50,18,0,512000000,216511
51,51,23,0,512000000,216511
52,52,20,0,512000000,216511
53,53,20,0,512000000,216511
54,54,22,0,512000000,216511
55,55,16,0,512000000,216511
56,56,19,0,512000000,216511
57,57,22,0,512000000,216511
58,58,21,0,512000000,216511
59,59,24,0,512000000,216511
60,60,41,0,512000000,216511
61,61,24,0,512000000,216511
62,62,22,0,512000000,216511
63,63,20,0,512000000,216511
64,64,21,0,512000000,216511
65,65,19,0,512000000,216511
66,66,19,0,512000000,216511
67,67,20,0,512000000,216511
68,68,25,0,512000000,216511
69,69,26,0,512000000,216511
70,70,21,0,512000000,216511
71,71,21,0,512000000,216511
72,72,21,0,512000000,216511
73,73,21,0,512000000,216511
74,74,21,0,512000000,216511
75,75,21,0,512000000,216511
76,76,17,0,512000000,216511
77,77,20,0,512000000,216511
78,78,21,0,512000000,216511
79,79,23,0,512000000,216511
80,80,21,0,512000000,216511
81,81,16,0,512000000,216511
82,82,21,0,512000000,216511
83,83,21,0,512000000,216511
84,84,21,0,512000000,216511
85,85,24,0,512000000,216511
86,86,20,0,512000000,216511
87,87,20,0,512000000,216511
88,88,20,0,512000000,216511
89,89,22,0,512000000,216511
90,90,21,0,512000000,216511
91,91,25,0,512000000,216511
92,92,23,0,512000000,216511
93,93,23,0,512000000,216511
94,94,21,0,512000000,216511
95,95,23,0,512000000,216511
96,96,19,0,512000000,216511
97,97,22,0,512000000,216511
98,98,22,0,512000000,216511
99,99,17,0,512000000,216511
100,100,19,0,512000000,216511
101,101,18,0,512000000,216511
102,102,23,0,512000000,216511
103,103,25,0,512000000,216511
104,104,25,0,512000000,216511
105,105,22,0,512000000,216511
106,106,17,0,512000000,216511
107,107,21,0,512000000,216511
108,108,24,0,512000000,216511
109,109,24,0,512000000,216511
110,110,26,0,512000000,216511
111,111,24,0,512000000,216511
112,112,23,0,512000000,216511
113,113,21,0,512000000,216511
114,114,19,0,512000000,216511
115,115,17,0,512000000,216511
116,116,19,0,512000000,216511
117,117,17,0,512000000,216511
118,118,12,0,512000000,216511
119,119,18,0,512000000,216511
120,120,21,0,512000000,216511
121,121,20,0,512000000,216511
122,122,20,0,512000000,216511
123,123,21,0,512000000,216511
124,124,20,0,512000000,216511
125,125,24,0,512000000,216511
126,126,21,0,512000000,216511
127,127,21,0,512000000,216511
128,128,20,0,512000000,216511
129,129,20,0,512000000,216511
130,130,20,0,512000000,216511
131,131,22,0,512000000,216511
132,132,19,0,512000000,216511
133,133,21,0,512000000,216511
134,134,19,0,512000000,216511
135,135,18,0,512000000,216511
136,136,19,0,512000000,216511
137,137,19,0,512000000,216511
138,138,18,0,512000000,216511
139,139,19,0,512000000,216511
140,140,15,0,512000000,216511
141,141,22,0,512000000,216511
142,142,19,0,512000000,216511
143,143,20,0,512000000,216511
144,144,23,0,512000000,216511
145,145,26,0,512000000,216511
146,146,23,0,512000000,216511
