id,entryId,latency,dataGenTime,totalBytes,totalTime
0,2,407,175,64000000,28177
1,8,205,0,64000000,28177
2,17,44,0,64000000,28177
3,25,32,0,64000000,28177
4,33,21,0,64000000,28177
5,41,41,0,64000000,28177
6,49,33,0,64000000,28177
7,58,25,0,64000000,28177
8,66,30,0,64000000,28177
9,75,19,0,64000000,28177
10,81,20,0,64000000,28177
11,89,22,0,64000000,28177
12,97,37,0,64000000,28177
13,103,19,0,64000000,28177
14,112,23,0,64000000,28177
15,120,22,0,64000000,28177
16,127,22,0,64000000,28177
17,135,20,0,64000000,28177
18,143,22,0,64000000,28177
19,151,22,0,64000000,28177
20,159,21,0,64000000,28177
21,167,26,0,64000000,28177
22,175,18,0,64000000,28177
23,184,16,0,64000000,28177
24,190,19,0,64000000,28177
25,199,23,0,64000000,28177
26,205,18,0,64000000,28177
27,213,23,0,64000000,28177
28,222,20,0,64000000,28177
29,232,25,0,64000000,28177
30,242,25,0,64000000,28177
31,248,21,0,64000000,28177
32,257,19,0,64000000,28177
33,265,19,0,64000000,28177
34,274,18,0,64000000,28177
35,282,23,0,64000000,28177
36,287,19,0,64000000,28177
37,295,19,0,64000000,28177
38,304,23,0,64000000,28177
39,312,20,0,64000000,28177
40,320,24,0,64000000,28177
41,328,29,0,64000000,28177
42,339,23,0,64000000,28177
43,347,21,0,64000000,28177
44,354,28,0,64000000,28177
45,363,23,0,64000000,28177
46,372,26,0,64000000,28177
47,380,23,0,64000000,28177
48,389,22,0,64000000,28177
49,397,22,0,64000000,28177
50,405,19,0,64000000,28177
51,413,21,0,64000000,28177
52,421,18,0,64000000,28177
53,431,23,0,64000000,28177
54,437,16,0,64000000,28177
55,446,20,0,64000000,28177
56,453,19,0,64000000,28177
57,462,22,0,64000000,28177
58,471,27,0,64000000,28177
59,482,25,0,64000000,28177
60,489,22,0,64000000,28177
61,497,19,0,64000000,28177
62,503,20,0,64000000,28177
63,511,23,0,64000000,28177
64,522,27,0,64000000,28177
65,528,25,0,64000000,28177
66,535,22,0,64000000,28177
67,544,31,0,64000000,28177
68,554,23,0,64000000,28177
69,563,21,0,64000000,28177
70,571,21,0,64000000,28177
71,579,22,0,64000000,28177
72,587,24,0,64000000,28177
73,595,29,0,64000000,28177
74,604,31,0,64000000,28177
75,616,27,0,64000000,28177
76,625,24,0,64000000,28177
77,633,36,0,64000000,28177
78,642,30,0,64000000,28177
79,651,22,0,64000000,28177
80,659,21,0,64000000,28177
81,667,20,0,64000000,28177
82,676,28,0,64000000,28177
83,685,23,0,64000000,28177
84,694,23,0,64000000,28177
85,700,22,0,64000000,28177
86,709,21,0,64000000,28177
87,717,30,0,64000000,28177
88,727,23,0,64000000,28177
89,734,40,0,64000000,28177
90,741,20,0,64000000,28177
91,749,22,0,64000000,28177
92,757,24,0,64000000,28177
93,765,20,0,64000000,28177
94,773,30,0,64000000,28177
95,781,22,0,64000000,28177
96,789,20,0,64000000,28177
97,797,20,0,64000000,28177
98,803,21,0,64000000,28177
99,811,20,0,64000000,28177
100,819,31,0,64000000,28177
101,822,16,0,64000000,28177
102,829,17,0,64000000,28177
103,832,22,0,64000000,28177
104,841,21,0,64000000,28177
105,849,39,0,64000000,28177
106,859,20,0,64000000,28177
107,866,17,0,64000000,28177
108,874,20,0,64000000,28177
109,882,19,0,64000000,28177
110,890,20,0,64000000,28177
111,898,19,0,64000000,28177
112,904,18,0,64000000,28177
113,913,18,0,64000000,28177
114,921,19,0,64000000,28177
115,929,20,0,64000000,28177
116,935,17,0,64000000,28177
117,942,22,0,64000000,28177
118,951,25,0,64000000,28177
119,957,18,0,64000000,28177
120,966,19,0,64000000,28177
121,973,18,0,64000000,28177
122,981,18,0,64000000,28177
123,989,18,0,64000000,28177
124,997,20,0,64000000,28177
125,1006,26,0,64000000,28177
126,1014,26,0,64000000,28177
127,1022,19,0,64000000,28177
128,1031,18,0,64000000,28177
129,1038,19,0,64000000,28177
130,1047,25,0,64000000,28177
131,1053,21,0,64000000,28177
132,1060,19,0,64000000,28177
133,1066,24,0,64000000,28177
134,1073,18,0,64000000,28177
135,1083,21,0,64000000,28177
136,1089,21,0,64000000,28177
137,1098,20,0,64000000,28177
138,1106,16,0,64000000,28177
139,1114,18,0,64000000,28177
140,1121,21,0,64000000,28177
141,1130,16,0,64000000,28177
142,1138,18,0,64000000,28177
143,1146,18,0,64000000,28177
144,1154,20,0,64000000,28177
145,1161,19,0,64000000,28177
146,1169,18,0,64000000,28177
147,1178,27,0,64000000,28177
148,1189,19,0,64000000,28177
149,1200,18,0,64000000,28177
150,1208,19,0,64000000,28177
151,1213,19,0,64000000,28177
152,1221,18,0,64000000,28177
153,1229,18,0,64000000,28177
154,1238,19,0,64000000,28177
155,1246,18,0,64000000,28177
156,1254,19,0,64000000,28177
157,1262,23,0,64000000,28177
158,1272,18,0,64000000,28177
159,1280,18,0,64000000,28177
