id,latency,size,totalTime
0,86,30,6672
1,31,30,6672
2,33,30,6672
3,25,30,6672
4,16,30,6672
5,47,30,6672
6,16,30,6672
7,16,30,6672
8,27,30,6672
9,17,30,6672
10,19,30,6672
11,22,30,6672
12,16,30,6672
13,22,30,6672
14,18,30,6672
15,22,30,6672
16,19,30,6672
17,16,30,6672
18,16,30,6672
19,16,30,6672
20,16,30,6672
21,16,30,6672
22,16,30,6672
23,15,30,6672
24,25,30,6672
25,17,30,6672
26,17,30,6672
27,20,30,6672
28,20,30,6672
29,17,30,6672
30,16,30,6672
31,24,30,6672
32,21,30,6672
33,16,30,6672
34,24,30,6672
35,16,30,6672
36,28,30,6672
37,16,30,6672
38,17,30,6672
39,17,30,6672
40,21,30,6672
41,15,30,6672
42,16,30,6672
43,21,30,6672
44,17,30,6672
45,26,30,6672
46,17,30,6672
47,16,30,6672
48,219,30,6672
49,20,30,6672
50,16,30,6672
51,18,30,6672
52,19,30,6672
53,20,30,6672
54,19,30,6672
55,18,30,6672
56,22,30,6672
57,16,30,6672
58,16,30,6672
59,17,30,6672
60,16,30,6672
61,15,30,6672
62,15,30,6672
63,15,30,6672
64,15,30,6672
65,16,30,6672
66,15,30,6672
67,15,30,6672
68,15,30,6672
69,16,30,6672
70,24,30,6672
71,16,30,6672
72,19,30,6672
73,19,30,6672
74,24,30,6672
75,19,30,6672
76,15,30,6672
77,16,30,6672
78,15,30,6672
79,16,30,6672
80,15,30,6672
81,15,30,6672
82,15,30,6672
83,15,30,6672
84,21,30,6672
85,27,30,6672
86,16,30,6672
87,18,30,6672
88,22,30,6672
89,23,30,6672
90,28,30,6672
91,18,30,6672
92,15,30,6672
93,24,30,6672
94,17,30,6672
95,25,30,6672
96,18,30,6672
97,16,30,6672
98,16,30,6672
99,16,30,6672
100,17,30,6672
101,27,30,6672
102,23,30,6672
103,23,30,6672
104,15,30,6672
105,15,30,6672
106,16,30,6672
107,15,30,6672
108,15,30,6672
109,16,30,6672
110,16,30,6672
111,16,30,6672
112,17,30,6672
113,16,30,6672
114,15,30,6672
115,15,30,6672
116,16,30,6672
117,17,30,6672
118,16,30,6672
119,29,30,6672
120,23,30,6672
121,16,30,6672
122,15,30,6672
123,16,30,6672
124,15,30,6672
125,16,30,6672
126,15,30,6672
127,27,30,6672
128,19,30,6672
129,15,30,6672
130,29,30,6672
131,25,30,6672
132,31,30,6672
133,17,30,6672
134,15,30,6672
135,15,30,6672
136,15,30,6672
137,15,30,6672
138,24,30,6672
139,18,30,6672
140,15,30,6672
141,17,30,6672
142,17,30,6672
143,27,30,6672
144,20,30,6672
145,16,30,6672
146,15,30,6672
147,15,30,6672
148,19,30,6672
149,26,30,6672
150,17,30,6672
151,16,30,6672
152,25,30,6672
153,16,30,6672
154,26,30,6672
155,17,30,6672
156,23,30,6672
157,16,30,6672
158,16,30,6672
159,15,30,6672
160,15,30,6672
161,24,30,6672
162,17,30,6672
163,15,30,6672
164,26,30,6672
165,15,30,6672
166,17,30,6672
167,15,30,6672
168,14,30,6672
169,17,30,6672
170,15,30,6672
171,21,30,6672
172,22,30,6672
173,17,30,6672
174,15,30,6672
175,15,30,6672
176,24,30,6672
177,17,30,6672
178,18,30,6672
179,25,30,6672
180,15,30,6672
181,16,30,6672
182,14,30,6672
183,18,30,6672
184,24,30,6672
185,16,30,6672
186,15,30,6672
187,16,30,6672
188,30,30,6672
189,18,30,6672
190,16,30,6672
191,21,30,6672
192,20,30,6672
193,20,30,6672
194,18,30,6672
195,16,30,6672
196,15,30,6672
197,16,30,6672
198,20,30,6672
199,24,30,6672
200,17,30,6672
201,15,30,6672
202,16,30,6672
203,27,30,6672
204,24,30,6672
205,16,30,6672
206,15,30,6672
207,25,30,6672
208,18,30,6672
209,15,30,6672
210,16,30,6672
211,21,30,6672
212,17,30,6672
213,22,30,6672
214,17,30,6672
215,19,30,6672
216,16,30,6672
