id,latency,size,totalTime
0,55,30,7408
1,18,30,7408
2,16,30,7408
3,18,30,7408
4,18,30,7408
5,49,30,7408
6,20,30,7408
7,18,30,7408
8,17,30,7408
9,16,30,7408
10,16,30,7408
11,16,30,7408
12,17,30,7408
13,16,30,7408
14,17,30,7408
15,17,30,7408
16,28,30,7408
17,21,30,7408
18,17,30,7408
19,17,30,7408
20,25,30,7408
21,19,30,7408
22,15,30,7408
23,16,30,7408
24,16,30,7408
25,16,30,7408
26,16,30,7408
27,18,30,7408
28,19,30,7408
29,16,30,7408
30,16,30,7408
31,16,30,7408
32,16,30,7408
33,15,30,7408
34,16,30,7408
35,16,30,7408
36,17,30,7408
37,16,30,7408
38,24,30,7408
39,17,30,7408
40,16,30,7408
41,16,30,7408
42,16,30,7408
43,17,30,7408
44,21,30,7408
45,20,30,7408
46,22,30,7408
47,19,30,7408
48,16,30,7408
49,17,30,7408
50,17,30,7408
51,17,30,7408
52,17,30,7408
53,17,30,7408
54,16,30,7408
55,16,30,7408
56,16,30,7408
57,17,30,7408
58,16,30,7408
59,16,30,7408
60,21,30,7408
61,26,30,7408
62,24,30,7408
63,16,30,7408
64,17,30,7408
65,28,30,7408
66,24,30,7408
67,16,30,7408
68,17,30,7408
69,16,30,7408
70,15,30,7408
71,17,30,7408
72,16,30,7408
73,16,30,7408
74,18,30,7408
75,18,30,7408
76,19,30,7408
77,17,30,7408
78,15,30,7408
79,17,30,7408
80,16,30,7408
81,17,30,7408
82,16,30,7408
83,15,30,7408
84,18,30,7408
85,18,30,7408
86,23,30,7408
87,18,30,7408
88,19,30,7408
89,17,30,7408
90,15,30,7408
91,16,30,7408
92,16,30,7408
93,17,30,7408
94,17,30,7408
95,17,30,7408
96,18,30,7408
97,18,30,7408
98,16,30,7408
99,16,30,7408
100,17,30,7408
101,16,30,7408
102,25,30,7408
103,20,30,7408
104,16,30,7408
105,16,30,7408
106,16,30,7408
107,25,30,7408
108,19,30,7408
109,16,30,7408
110,15,30,7408
111,26,30,7408
112,18,30,7408
113,16,30,7408
114,20,30,7408
115,20,30,7408
116,20,30,7408
117,17,30,7408
118,17,30,7408
119,15,30,7408
120,15,30,7408
121,16,30,7408
122,16,30,7408
123,16,30,7408
124,17,30,7408
125,19,30,7408
126,16,30,7408
127,15,30,7408
128,15,30,7408
129,15,30,7408
130,28,30,7408
131,23,30,7408
132,17,30,7408
133,15,30,7408
134,16,30,7408
135,21,30,7408
136,16,30,7408
137,20,30,7408
138,17,30,7408
139,16,30,7408
140,15,30,7408
141,14,30,7408
142,16,30,7408
143,15,30,7408
144,31,30,7408
145,24,30,7408
146,18,30,7408
147,16,30,7408
148,16,30,7408
149,16,30,7408
150,16,30,7408
151,16,30,7408
152,15,30,7408
153,77,30,7408
154,23,30,7408
155,16,30,7408
156,15,30,7408
157,21,30,7408
158,15,30,7408
159,45,30,7408
160,19,30,7408
161,17,30,7408
162,20,30,7408
163,21,30,7408
164,24,30,7408
165,17,30,7408
166,17,30,7408
167,17,30,7408
168,17,30,7408
169,17,30,7408
170,16,30,7408
171,20,30,7408
172,17,30,7408
173,19,30,7408
174,16,30,7408
175,221,30,7408
176,23,30,7408
177,15,30,7408
178,19,30,7408
179,18,30,7408
180,22,30,7408
181,15,30,7408
182,15,30,7408
183,15,30,7408
184,15,30,7408
185,21,30,7408
186,16,30,7408
187,16,30,7408
188,218,30,7408
189,26,30,7408
190,16,30,7408
191,17,30,7408
192,17,30,7408
193,22,30,7408
194,19,30,7408
195,16,30,7408
196,15,30,7408
197,28,30,7408
198,24,30,7408
199,15,30,7408
200,21,30,7408
201,17,30,7408
202,16,30,7408
203,22,30,7408
204,16,30,7408
205,16,30,7408
206,20,30,7408
207,17,30,7408
208,16,30,7408
209,14,30,7408
210,26,30,7408
211,16,30,7408
212,16,30,7408
213,19,30,7408
214,18,30,7408
215,17,30,7408
216,15,30,7408
217,15,30,7408
218,15,30,7408
219,15,30,7408
220,14,30,7408
221,15,30,7408
222,16,30,7408
223,221,30,7408
224,25,30,7408
225,16,30,7408
226,18,30,7408
227,17,30,7408
228,15,30,7408
229,15,30,7408
230,15,30,7408
231,15,30,7408
232,15,30,7408
233,15,30,7408
234,15,30,7408
235,16,30,7408
236,27,30,7408
237,23,30,7408
238,19,30,7408
239,56,30,7408
240,23,30,7408
241,15,30,7408
242,15,30,7408
243,15,30,7408
