id,latency,size,totalTime
0,67,30,10132
1,35,30,10132
2,29,30,10132
3,43,30,10132
4,23,30,10132
5,38,30,10132
6,27,30,10132
7,23,30,10132
8,25,30,10132
9,33,30,10132
10,34,30,10132
11,31,30,10132
12,36,30,10132
13,31,30,10132
14,29,30,10132
15,46,30,10132
16,30,30,10132
17,30,30,10132
18,25,30,10132
19,21,30,10132
20,38,30,10132
21,30,30,10132
22,26,30,10132
23,22,30,10132
24,24,30,10132
25,26,30,10132
26,25,30,10132
27,21,30,10132
28,27,30,10132
29,224,30,10132
30,25,30,10132
31,18,30,10132
32,18,30,10132
33,33,30,10132
34,27,30,10132
35,34,30,10132
36,27,30,10132
37,27,30,10132
38,33,30,10132
39,45,30,10132
40,27,30,10132
41,27,30,10132
42,30,30,10132
43,30,30,10132
44,22,30,10132
45,19,30,10132
46,26,30,10132
47,28,30,10132
48,26,30,10132
49,28,30,10132
50,21,30,10132
51,17,30,10132
52,17,30,10132
53,18,30,10132
54,16,30,10132
55,29,30,10132
56,26,30,10132
57,17,30,10132
58,15,30,10132
59,17,30,10132
60,44,30,10132
61,31,30,10132
62,31,30,10132
63,33,30,10132
64,22,30,10132
65,29,30,10132
66,29,30,10132
67,28,30,10132
68,28,30,10132
69,32,30,10132
70,36,30,10132
71,31,30,10132
72,29,30,10132
73,38,30,10132
74,28,30,10132
75,30,30,10132
76,25,30,10132
77,16,30,10132
78,18,30,10132
79,15,30,10132
80,16,30,10132
81,17,30,10132
82,16,30,10132
83,19,30,10132
84,19,30,10132
85,18,30,10132
86,15,30,10132
87,28,30,10132
88,30,30,10132
89,49,30,10132
90,30,30,10132
91,61,30,10132
92,27,30,10132
93,15,30,10132
94,17,30,10132
95,17,30,10132
96,16,30,10132
97,15,30,10132
98,15,30,10132
99,16,30,10132
100,16,30,10132
101,15,30,10132
102,17,30,10132
103,25,30,10132
104,17,30,10132
105,23,30,10132
106,30,30,10132
107,24,30,10132
108,21,30,10132
109,40,30,10132
110,43,30,10132
111,24,30,10132
112,20,30,10132
113,20,30,10132
114,28,30,10132
115,28,30,10132
116,28,30,10132
117,43,30,10132
118,23,30,10132
119,16,30,10132
120,15,30,10132
121,15,30,10132
122,16,30,10132
123,14,30,10132
124,15,30,10132
125,15,30,10132
126,16,30,10132
127,15,30,10132
128,15,30,10132
129,216,30,10132
130,24,30,10132
131,15,30,10132
132,15,30,10132
133,15,30,10132
134,16,30,10132
135,16,30,10132
136,18,30,10132
137,16,30,10132
138,26,30,10132
139,19,30,10132
140,31,30,10132
141,28,30,10132
142,27,30,10132
143,28,30,10132
144,26,30,10132
145,29,30,10132
146,28,30,10132
147,238,30,10132
148,26,30,10132
149,32,30,10132
150,27,30,10132
151,30,30,10132
152,28,30,10132
153,224,30,10132
154,34,30,10132
155,28,30,10132
156,25,30,10132
157,24,30,10132
158,25,30,10132
159,35,30,10132
160,33,30,10132
161,28,30,10132
162,26,30,10132
163,25,30,10132
164,21,30,10132
165,34,30,10132
166,18,30,10132
167,18,30,10132
168,17,30,10132
169,16,30,10132
170,16,30,10132
171,16,30,10132
172,15,30,10132
173,17,30,10132
174,15,30,10132
175,16,30,10132
176,17,30,10132
177,21,30,10132
178,31,30,10132
179,30,30,10132
180,37,30,10132
181,440,30,10132
182,52,30,10132
183,47,30,10132
184,44,30,10132
185,30,30,10132
186,28,30,10132
187,21,30,10132
188,34,30,10132
189,49,30,10132
190,41,30,10132
191,45,30,10132
192,28,30,10132
193,44,30,10132
194,23,30,10132
195,15,30,10132
196,27,30,10132
197,21,30,10132
198,17,30,10132
199,15,30,10132
200,15,30,10132
201,21,30,10132
202,22,30,10132
203,41,30,10132
204,25,30,10132
205,223,30,10132
206,28,30,10132
207,53,30,10132
208,24,30,10132
209,24,30,10132
210,37,30,10132
211,36,30,10132
212,27,30,10132
213,18,30,10132
214,29,30,10132
215,30,30,10132
216,39,30,10132
217,23,30,10132
218,21,30,10132
219,32,30,10132
220,34,30,10132
221,30,30,10132
222,58,30,10132
223,31,30,10132
224,20,30,10132
225,29,30,10132
226,29,30,10132
227,215,30,10132
228,28,30,10132
229,28,30,10132
230,28,30,10132
231,31,30,10132
232,33,30,10132
233,36,30,10132
234,22,30,10132
235,18,30,10132
236,34,30,10132
237,24,30,10132
238,20,30,10132
239,25,30,10132
240,226,30,10132
241,25,30,10132
242,29,30,10132
243,23,30,10132
244,31,30,10132
245,43,30,10132
246,38,30,10132
247,29,30,10132
248,40,30,10132
249,33,30,10132
250,37,30,10132
251,22,30,10132
252,24,30,10132
253,17,30,10132
254,19,30,10132
255,19,30,10132
256,20,30,10132
257,71,30,10132
258,26,30,10132
259,18,30,10132
260,16,30,10132
261,22,30,10132
262,21,30,10132
263,16,30,10132
264,29,30,10132
265,20,30,10132
266,17,30,10132
267,17,30,10132
268,17,30,10132
269,17,30,10132
270,20,30,10132
271,23,30,10132
272,16,30,10132
273,20,30,10132
274,16,30,10132
275,16,30,10132
276,15,30,10132
277,15,30,10132
278,40,30,10132
279,23,30,10132
280,16,30,10132
281,15,30,10132
282,16,30,10132
283,24,30,10132
284,17,30,10132
285,16,30,10132
286,15,30,10132
287,19,30,10132
288,20,30,10132
289,18,30,10132
290,16,30,10132
291,15,30,10132
292,17,30,10132
293,15,30,10132
294,15,30,10132
295,15,30,10132
296,17,30,10132
297,17,30,10132
298,26,30,10132
299,19,30,10132
300,16,30,10132
301,16,30,10132
302,39,30,10132
303,23,30,10132
304,22,30,10132
305,17,30,10132
306,23,30,10132
307,16,30,10132
308,15,30,10132
309,15,30,10132
310,15,30,10132
311,15,30,10132
312,15,30,10132
313,25,30,10132
314,17,30,10132
315,15,30,10132
316,25,30,10132
317,16,30,10132
318,16,30,10132
319,16,30,10132
320,15,30,10132
321,15,30,10132
322,16,30,10132
323,16,30,10132
324,14,30,10132
325,16,30,10132
326,15,30,10132
327,14,30,10132
328,15,30,10132
329,31,30,10132
330,48,30,10132
331,27,30,10132
332,22,30,10132
333,25,10,10132
