id,latency,size,totalTime
0,70,30,10445
1,51,30,10445
2,31,30,10445
3,32,30,10445
4,22,30,10445
5,24,30,10445
6,19,30,10445
7,41,30,10445
8,46,30,10445
9,47,30,10445
10,24,30,10445
11,21,30,10445
12,32,30,10445
13,33,30,10445
14,22,30,10445
15,17,30,10445
16,15,30,10445
17,20,30,10445
18,32,30,10445
19,28,30,10445
20,27,30,10445
21,21,30,10445
22,38,30,10445
23,35,30,10445
24,32,30,10445
25,29,30,10445
26,27,30,10445
27,28,30,10445
28,17,30,10445
29,27,30,10445
30,33,30,10445
31,41,30,10445
32,235,30,10445
33,32,30,10445
34,36,30,10445
35,33,30,10445
36,37,30,10445
37,26,30,10445
38,43,30,10445
39,29,30,10445
40,225,30,10445
41,27,30,10445
42,27,30,10445
43,23,30,10445
44,35,30,10445
45,36,30,10445
46,56,30,10445
47,50,30,10445
48,50,30,10445
49,36,30,10445
50,42,30,10445
51,42,30,10445
52,259,30,10445
53,33,30,10445
54,89,30,10445
55,54,30,10445
56,26,30,10445
57,26,30,10445
58,36,30,10445
59,40,30,10445
60,50,30,10445
61,37,30,10445
62,31,30,10445
63,36,30,10445
64,34,30,10445
65,121,30,10445
66,40,30,10445
67,31,30,10445
68,29,30,10445
69,26,30,10445
70,24,30,10445
71,21,30,10445
72,24,30,10445
73,42,30,10445
74,25,30,10445
75,44,30,10445
76,30,30,10445
77,34,30,10445
78,24,30,10445
79,18,30,10445
80,21,30,10445
81,17,30,10445
82,16,30,10445
83,16,30,10445
84,16,30,10445
85,17,30,10445
86,16,30,10445
87,16,30,10445
88,16,30,10445
89,16,30,10445
90,28,30,10445
91,30,30,10445
92,31,30,10445
93,36,30,10445
94,21,30,10445
95,23,30,10445
96,22,30,10445
97,46,30,10445
98,27,30,10445
99,42,30,10445
100,34,30,10445
101,27,30,10445
102,18,30,10445
103,16,30,10445
104,17,30,10445
105,18,30,10445
106,17,30,10445
107,17,30,10445
108,17,30,10445
109,16,30,10445
110,16,30,10445
111,26,30,10445
112,34,30,10445
113,47,30,10445
114,27,30,10445
115,23,30,10445
116,27,30,10445
117,23,30,10445
118,20,30,10445
119,25,30,10445
120,25,30,10445
121,27,30,10445
122,19,30,10445
123,28,30,10445
124,1514,30,10445
125,28,30,10445
126,16,30,10445
127,19,30,10445
128,26,30,10445
129,29,30,10445
130,30,30,10445
131,20,30,10445
132,16,30,10445
133,17,30,10445
134,17,30,10445
135,16,30,10445
136,22,30,10445
137,20,30,10445
138,16,30,10445
139,18,30,10445
140,16,30,10445
141,29,30,10445
142,22,30,10445
143,16,30,10445
144,16,30,10445
145,16,30,10445
146,27,30,10445
147,24,30,10445
148,15,30,10445
149,14,30,10445
150,21,30,10445
151,17,30,10445
152,23,30,10445
153,18,30,10445
154,15,30,10445
155,28,30,10445
156,23,30,10445
157,16,30,10445
158,24,30,10445
159,16,30,10445
160,16,30,10445
161,15,30,10445
162,15,30,10445
163,16,30,10445
164,17,30,10445
165,16,30,10445
166,15,30,10445
167,14,30,10445
168,29,30,10445
169,18,30,10445
170,15,30,10445
171,26,30,10445
172,16,30,10445
173,15,30,10445
174,16,30,10445
175,15,30,10445
176,15,30,10445
177,15,30,10445
178,15,30,10445
179,30,30,10445
180,17,30,10445
181,15,30,10445
182,15,30,10445
183,15,30,10445
184,16,30,10445
185,16,30,10445
186,15,30,10445
187,15,30,10445
188,15,30,10445
189,15,30,10445
190,21,30,10445
191,16,30,10445
192,19,30,10445
193,15,30,10445
194,15,30,10445
195,16,30,10445
196,17,30,10445
197,23,30,10445
198,19,30,10445
199,15,30,10445
200,16,30,10445
201,15,30,10445
202,16,30,10445
203,15,30,10445
204,18,30,10445
205,16,30,10445
206,17,30,10445
207,18,30,10445
208,17,30,10445
209,23,30,10445
210,26,30,10445
211,17,30,10445
