id,latency,size,totalTime
0,225,30,27593
1,66,30,27593
2,29,30,27593
3,38,30,27593
4,50,30,27593
5,49,30,27593
6,40,30,27593
7,32,30,27593
8,73,30,27593
9,48,30,27593
10,63,30,27593
11,69,30,27593
12,84,30,27593
13,259,30,27593
14,32,30,27593
15,34,30,27593
16,31,30,27593
17,28,30,27593
18,47,30,27593
19,57,30,27593
20,54,30,27593
21,56,30,27593
22,46,30,27593
23,269,30,27593
24,47,30,27593
25,48,30,27593
26,39,30,27593
27,93,30,27593
28,61,30,27593
29,56,30,27593
30,69,30,27593
31,26,30,27593
32,53,30,27593
33,57,30,27593
34,49,30,27593
35,88,30,27593
36,233,30,27593
37,66,30,27593
38,690,30,27593
39,225,30,27593
40,36,30,27593
41,25,30,27593
42,325,30,27593
43,24,30,27593
44,38,30,27593
45,29,30,27593
46,61,30,27593
47,65,30,27593
48,86,30,27593
49,66,30,27593
50,286,30,27593
51,33,30,27593
52,57,30,27593
53,40,30,27593
54,82,30,27593
55,84,30,27593
56,28,30,27593
57,694,30,27593
58,66,30,27593
59,28,30,27593
60,64,30,27593
61,237,30,27593
62,50,30,27593
63,39,30,27593
64,63,30,27593
65,72,30,27593
66,28,30,27593
67,247,30,27593
68,65,30,27593
69,41,30,27593
70,46,30,27593
71,65,30,27593
72,87,30,27593
73,129,30,27593
74,31,30,27593
75,62,30,27593
76,77,30,27593
77,52,30,27593
78,64,30,27593
79,45,30,27593
80,306,30,27593
81,897,30,27593
82,72,30,27593
83,28,30,27593
84,26,30,27593
85,19,30,27593
86,23,30,27593
87,54,30,27593
88,44,30,27593
89,233,30,27593
90,44,30,27593
91,78,30,27593
92,49,30,27593
93,62,30,27593
94,64,30,27593
95,106,30,27593
96,36,30,27593
97,48,30,27593
98,60,30,27593
99,53,30,27593
100,67,30,27593
101,102,30,27593
102,52,30,27593
103,50,30,27593
104,63,30,27593
105,52,30,27593
106,247,30,27593
107,47,30,27593
108,65,30,27593
109,52,30,27593
110,41,30,27593
