id,latency,size,totalTime
0,159,30,23473
1,243,30,23473
2,66,30,23473
3,311,30,23473
4,414,30,23473
5,79,30,23473
6,31,30,23473
7,41,30,23473
8,304,30,23473
9,82,30,23473
10,63,30,23473
11,39,30,23473
12,35,30,23473
13,50,30,23473
14,41,30,23473
15,31,30,23473
16,37,30,23473
17,45,30,23473
18,42,30,23473
19,90,30,23473
20,176,30,23473
21,38,30,23473
22,43,30,23473
23,56,30,23473
24,29,30,23473
25,233,30,23473
26,49,30,23473
27,61,30,23473
28,63,30,23473
29,110,30,23473
30,70,30,23473
31,242,30,23473
32,38,30,23473
33,96,30,23473
34,59,30,23473
35,39,30,23473
36,86,30,23473
37,76,30,23473
38,62,30,23473
39,227,30,23473
40,437,30,23473
41,121,30,23473
42,46,30,23473
43,30,30,23473
44,36,30,23473
45,42,30,23473
46,263,30,23473
47,47,30,23473
48,26,30,23473
49,73,30,23473
50,27,30,23473
51,78,30,23473
52,36,30,23473
53,32,30,23473
54,44,30,23473
55,54,30,23473
56,124,30,23473
57,105,30,23473
58,55,30,23473
59,58,30,23473
60,119,30,23473
61,39,30,23473
62,49,30,23473
63,78,30,23473
64,47,30,23473
65,43,30,23473
66,49,30,23473
67,40,30,23473
68,55,30,23473
69,50,30,23473
70,68,30,23473
71,55,30,23473
72,42,30,23473
73,50,30,23473
74,242,30,23473
75,61,30,23473
76,26,30,23473
77,38,30,23473
78,49,30,23473
79,50,30,23473
80,64,30,23473
81,75,30,23473
82,255,30,23473
83,59,30,23473
84,51,30,23473
85,58,30,23473
86,93,30,23473
87,50,30,23473
88,37,30,23473
89,34,30,23473
90,64,30,23473
91,38,30,23473
92,103,30,23473
93,234,30,23473
94,61,30,23473
95,42,30,23473
96,42,30,23473
97,53,30,23473
98,37,30,23473
99,67,30,23473
100,53,30,23473
101,39,30,23473
102,78,30,23473
103,52,30,23473
104,93,30,23473
105,50,30,23473
106,36,30,23473
107,228,30,23473
108,43,30,23473
109,53,30,23473
110,58,30,23473
111,238,30,23473
112,48,30,23473
113,50,30,23473
114,30,30,23473
115,30,30,23473
116,52,30,23473
117,38,30,23473
118,49,30,23473
119,57,30,23473
120,50,30,23473
121,31,30,23473
122,31,30,23473
123,52,30,23473
124,54,30,23473
125,26,30,23473
126,51,30,23473
127,286,30,23473
128,30,30,23473
129,26,30,23473
130,42,30,23473
131,47,30,23473
132,276,30,23473
133,57,30,23473
134,48,30,23473
135,26,30,23473
136,22,30,23473
137,36,30,23473
138,31,30,23473
139,27,30,23473
140,30,30,23473
141,23,30,23473
142,40,30,23473
143,39,30,23473
144,32,30,23473
145,247,30,23473
146,73,30,23473
147,49,30,23473
148,48,30,23473
149,55,30,23473
150,89,30,23473
151,93,30,23473
152,63,30,23473
153,29,30,23473
154,20,30,23473
155,61,30,23473
156,59,30,23473
157,39,30,23473
158,34,30,23473
159,37,30,23473
160,44,30,23473
161,306,30,23473
162,68,30,23473
163,233,30,23473
164,66,30,23473
165,129,30,23473
166,88,30,23473
167,63,30,23473
168,40,30,23473
169,33,30,23473
170,42,30,23473
171,56,30,23473
172,274,30,23473
173,236,30,23473
174,256,30,23473
175,61,30,23473
176,76,30,23473
177,70,30,23473
178,103,30,23473
179,30,30,23473
180,47,30,23473
181,40,30,23473
182,43,30,23473
183,277,30,23473
184,24,30,23473
185,20,30,23473
186,35,30,23473
187,38,30,23473
188,37,30,23473
189,52,30,23473
190,76,30,23473
191,65,30,23473
192,28,30,23473
193,40,30,23473
194,32,30,23473
195,508,30,23473
196,62,30,23473
197,71,30,23473
198,47,30,23473
199,39,30,23473
200,47,30,23473
201,54,30,23473
202,230,30,23473
203,26,30,23473
204,19,30,23473
205,25,30,23473
206,33,30,23473
207,39,30,23473
208,58,30,23473
209,52,30,23473
210,46,30,23473
211,84,30,23473
212,46,30,23473
213,51,30,23473
214,61,30,23473
215,33,30,23473
216,52,30,23473
217,27,30,23473
218,38,30,23473
219,35,30,23473
220,47,30,23473
221,85,30,23473
222,62,30,23473
223,53,30,23473
224,46,30,23473
225,37,30,23473
226,228,30,23473
227,62,30,23473
228,60,30,23473
229,44,30,23473
230,24,30,23473
231,25,30,23473
232,25,30,23473
233,41,30,23473
234,73,30,23473
235,62,30,23473
236,223,30,23473
237,92,30,23473
238,243,30,23473
239,59,30,23473
240,52,30,23473
241,56,30,23473
242,50,30,23473
243,62,30,23473
244,44,30,23473
245,245,30,23473
246,25,30,23473
247,20,30,23473
248,22,30,23473
249,31,30,23473
250,17,30,23473
251,16,30,23473
252,19,30,23473
253,21,30,23473
254,24,30,23473
255,264,30,23473
256,39,30,23473
257,40,30,23473
258,28,30,23473
259,25,30,23473
260,23,30,23473
261,24,30,23473
262,40,30,23473
263,28,30,23473
264,46,30,23473
265,64,30,23473
266,102,30,23473
267,35,30,23473
268,23,30,23473
269,30,30,23473
270,39,30,23473
271,53,30,23473
272,68,30,23473
273,45,30,23473
274,85,30,23473
275,72,30,23473
276,45,30,23473
277,42,30,23473
278,224,30,23473
279,61,30,23473
280,58,30,23473
281,241,30,23473
282,18,30,23473
283,31,30,23473
284,26,30,23473
285,39,30,23473
286,43,30,23473
287,73,30,23473
288,50,30,23473
289,79,30,23473
290,58,30,23473
291,57,30,23473
292,56,30,23473
293,38,30,23473
294,25,30,23473
295,40,30,23473
296,54,30,23473
297,62,30,23473
298,38,30,23473
299,21,30,23473
300,30,30,23473
301,33,30,23473
302,24,30,23473
303,30,30,23473
304,30,30,23473
305,67,30,23473
306,60,30,23473
307,45,30,23473
308,41,30,23473
