id,entryId,latency,dataGenTime,totalBytes,totalTime
0,0,407,175,64000000,27980
1,9,208,0,64000000,27980
2,21,58,0,64000000,27980
3,31,28,0,64000000,27980
4,38,24,0,64000000,27980
5,45,60,0,64000000,27980
6,57,24,0,64000000,27980
7,65,31,0,64000000,27980
8,73,19,0,64000000,27980
9,83,21,0,64000000,27980
10,90,21,0,64000000,27980
11,99,37,0,64000000,27980
12,108,25,0,64000000,27980
13,116,24,0,64000000,27980
14,124,26,0,64000000,27980
15,133,21,0,64000000,27980
16,142,22,0,64000000,27980
17,150,22,0,64000000,27980
18,158,22,0,64000000,27980
19,166,32,0,64000000,27980
20,174,18,0,64000000,27980
21,182,19,0,64000000,27980
22,191,19,0,64000000,27980
23,196,18,0,64000000,27980
24,204,19,0,64000000,27980
25,212,27,0,64000000,27980
26,220,18,0,64000000,27980
27,228,22,0,64000000,27980
28,236,20,0,64000000,27980
29,244,20,0,64000000,27980
30,252,18,0,64000000,27980
31,260,20,0,64000000,27980
32,269,19,0,64000000,27980
33,277,21,0,64000000,27980
34,285,21,0,64000000,27980
35,293,16,0,64000000,27980
36,299,20,0,64000000,27980
37,308,28,0,64000000,27980
38,317,20,0,64000000,27980
39,324,24,0,64000000,27980
40,332,21,0,64000000,27980
41,341,21,0,64000000,27980
42,349,41,0,64000000,27980
43,359,27,0,64000000,27980
44,371,24,0,64000000,27980
45,379,22,0,64000000,27980
46,386,20,0,64000000,27980
47,393,19,0,64000000,27980
48,403,22,0,64000000,27980
49,411,19,0,64000000,27980
50,419,17,0,64000000,27980
51,426,17,0,64000000,27980
52,433,17,0,64000000,27980
53,441,18,0,64000000,27980
54,449,23,0,64000000,27980
55,458,19,0,64000000,27980
56,468,24,0,64000000,27980
57,476,23,0,64000000,27980
58,484,23,0,64000000,27980
59,492,26,0,64000000,27980
60,501,21,0,64000000,27980
61,509,24,0,64000000,27980
62,517,21,0,64000000,27980
63,524,19,0,64000000,27980
64,530,22,0,64000000,27980
65,536,22,0,64000000,27980
66,543,23,0,64000000,27980
67,551,27,0,64000000,27980
68,559,18,0,64000000,27980
69,567,24,0,64000000,27980
70,574,22,0,64000000,27980
71,582,29,0,64000000,27980
72,591,20,0,64000000,27980
73,599,22,0,64000000,27980
74,607,21,0,64000000,27980
75,613,21,0,64000000,27980
76,622,23,0,64000000,27980
77,630,19,0,64000000,27980
78,638,21,0,64000000,27980
79,645,30,0,64000000,27980
80,653,22,0,64000000,27980
81,661,21,0,64000000,27980
82,669,24,0,64000000,27980
83,677,24,0,64000000,27980
