id,latency,size,totalTime
0,57,30,14920
1,18,30,14920
2,16,30,14920
3,17,30,14920
4,16,30,14920
5,21,30,14920
6,41,30,14920
7,20,30,14920
8,17,30,14920
9,37,30,14920
10,17,30,14920
11,16,30,14920
12,16,30,14920
13,21,30,14920
14,17,30,14920
15,16,30,14920
16,27,30,14920
17,19,30,14920
18,22,30,14920
19,16,30,14920
20,16,30,14920
21,15,30,14920
22,15,30,14920
23,14,30,14920
24,15,30,14920
25,28,30,14920
26,17,30,14920
27,15,30,14920
28,16,30,14920
29,15,30,14920
30,15,30,14920
31,15,30,14920
32,15,30,14920
33,15,30,14920
34,15,30,14920
35,15,30,14920
36,15,30,14920
37,15,30,14920
38,15,30,14920
39,23,30,14920
40,17,30,14920
41,24,30,14920
42,16,30,14920
43,16,30,14920
44,18,30,14920
45,18,30,14920
46,15,30,14920
47,15,30,14920
48,16,30,14920
49,266,30,14920
50,24,30,14920
51,15,30,14920
52,17,30,14920
53,17,30,14920
54,16,30,14920
55,17,30,14920
56,17,30,14920
57,18,30,14920
58,23,30,14920
59,24,30,14920
60,28,30,14920
61,23,30,14920
62,17,30,14920
63,22,30,14920
64,17,30,14920
65,15,30,14920
66,15,30,14920
67,23,30,14920
68,18,30,14920
69,15,30,14920
70,15,30,14920
71,15,30,14920
72,15,30,14920
73,17,30,14920
74,16,30,14920
75,14,30,14920
76,15,30,14920
77,15,30,14920
78,15,30,14920
79,15,30,14920
80,16,30,14920
81,26,30,14920
82,24,30,14920
83,21,30,14920
84,17,30,14920
85,25,30,14920
86,18,30,14920
87,15,30,14920
88,16,30,14920
89,17,30,14920
90,19,30,14920
91,19,30,14920
92,16,30,14920
93,17,30,14920
94,15,30,14920
95,17,30,14920
96,15,30,14920
97,16,30,14920
98,16,30,14920
99,15,30,14920
100,16,30,14920
101,16,30,14920
102,22,30,14920
103,25,30,14920
104,17,30,14920
105,24,30,14920
106,24,30,14920
107,17,30,14920
108,20,30,14920
109,19,30,14920
110,16,30,14920
111,15,30,14920
112,15,30,14920
113,16,30,14920
114,221,30,14920
115,23,30,14920
116,24,30,14920
117,18,30,14920
118,15,30,14920
119,15,30,14920
120,27,30,14920
121,16,30,14920
122,15,30,14920
123,16,30,14920
124,16,30,14920
125,16,30,14920
126,15,30,14920
127,15,30,14920
128,16,30,14920
129,16,30,14920
130,15,30,14920
131,25,30,14920
132,16,30,14920
133,19,30,14920
134,23,30,14920
135,30,30,14920
136,22,30,14920
137,19,30,14920
138,24,30,14920
139,24,30,14920
140,21,30,14920
141,25,30,14920
142,18,30,14920
143,26,30,14920
144,42,30,14920
145,24,30,14920
146,228,30,14920
147,26,30,14920
148,24,30,14920
149,27,30,14920
150,24,30,14920
151,39,30,14920
152,35,30,14920
153,29,30,14920
154,33,30,14920
155,39,30,14920
156,31,30,14920
157,20,30,14920
158,16,30,14920
159,18,30,14920
160,18,30,14920
161,16,30,14920
162,16,30,14920
163,16,30,14920
164,17,30,14920
165,16,30,14920
166,27,30,14920
167,18,30,14920
168,28,30,14920
169,29,30,14920
170,44,30,14920
171,33,30,14920
172,27,30,14920
173,27,30,14920
174,27,30,14920
175,21,30,14920
176,17,30,14920
177,16,30,14920
178,227,30,14920
179,27,30,14920
180,16,30,14920
181,16,30,14920
182,16,30,14920
183,15,30,14920
184,17,30,14920
185,18,30,14920
186,29,30,14920
187,23,30,14920
188,17,30,14920
189,29,30,14920
190,38,30,14920
191,36,30,14920
192,29,30,14920
193,30,30,14920
194,23,30,14920
195,26,30,14920
196,32,30,14920
197,37,30,14920
198,23,30,14920
199,24,30,14920
200,27,30,14920
201,220,30,14920
202,27,30,14920
203,27,30,14920
204,29,30,14920
205,29,30,14920
206,31,30,14920
207,36,30,14920
208,29,30,14920
209,55,30,14920
210,41,30,14920
211,34,30,14920
212,22,30,14920
213,17,30,14920
214,219,30,14920
215,26,30,14920
216,30,30,14920
217,31,30,14920
218,29,30,14920
219,34,30,14920
220,29,30,14920
221,220,30,14920
222,42,30,14920
223,40,30,14920
224,46,30,14920
225,60,30,14920
226,60,30,14920
227,46,30,14920
228,65,30,14920
229,62,30,14920
230,231,30,14920
231,65,30,14920
232,51,30,14920
233,33,30,14920
234,219,30,14920
235,31,30,14920
236,31,30,14920
237,28,30,14920
238,36,30,14920
239,236,30,14920
240,41,30,14920
241,28,30,14920
242,42,30,14920
243,36,30,14920
244,37,30,14920
245,66,30,14920
246,30,30,14920
247,64,30,14920
248,229,30,14920
249,28,30,14920
250,63,30,14920
251,73,30,14920
252,43,30,14920
253,57,30,14920
254,52,30,14920
255,29,30,14920
256,43,30,14920
257,44,30,14920
258,48,30,14920
259,71,30,14920
260,30,30,14920
261,42,30,14920
262,60,30,14920
263,47,30,14920
264,42,30,14920
265,41,30,14920
266,31,30,14920
267,74,30,14920
268,53,30,14920
269,42,30,14920
270,45,30,14920
271,42,30,14920
272,60,30,14920
273,61,30,14920
274,39,30,14920
275,30,30,14920
276,29,30,14920
277,27,30,14920
278,218,30,14920
279,27,30,14920
280,25,30,14920
281,35,30,14920
282,63,30,14920
283,43,30,14920
284,46,30,14920
285,42,30,14920
286,65,30,14920
287,41,30,14920
288,283,30,14920
289,36,30,14920
290,60,30,14920
291,48,30,14920
292,30,30,14920
293,51,30,14920
294,59,30,14920
295,37,30,14920
296,43,30,14920
297,31,30,14920
298,26,30,14920
299,32,30,14920
300,41,30,14920
301,29,30,14920
302,265,30,14920
303,67,30,14920
304,75,30,14920
305,36,30,14920
306,31,30,14920
307,41,30,14920
308,67,30,14920
309,41,30,14920
310,41,30,14920
311,81,30,14920
312,250,30,14920
313,1328,30,14920
314,52,30,14920
315,45,30,14920
316,84,30,14920
317,29,30,14920
318,54,30,14920
319,46,30,14920
320,121,30,14920
321,45,30,14920
322,48,30,14920
323,27,30,14920
324,240,30,14920
325,264,30,14920
326,44,30,14920
327,50,30,14920
328,93,30,14920
329,56,30,14920
330,34,30,14920
331,262,30,14920
332,64,30,14920
333,31,10,14920
